Specie,X,Y
Leptailurus serval,28.694505,-27.147042
Leptailurus serval,29.941333,-29.098572
Leptailurus serval,28.473394,-26.838964
Leptailurus serval,30.196067,-29.481189
Leptailurus serval,28.82699,-27.494571
Leptailurus serval,28.943076,-27.726212
Leptailurus serval,29.092685,-28.194405
Leptailurus serval,28.726328,-27.20939
Leptailurus serval,28.405786,-26.710511
Leptailurus serval,28.849034,-27.586783
Leptailurus serval,28.447269,-26.782479
Leptailurus serval,28.413156,-26.723033
Leptailurus serval,29.053462,-28.127196
Leptailurus serval,28.438227,-26.764188
Leptailurus serval,28.716471,-27.187768
Leptailurus serval,28.814837,-27.440632
Leptailurus serval,28.454753,-26.799044
Leptailurus serval,28.470553,-26.832371
Leptailurus serval,28.389804,-26.597455
Leptailurus serval,29.25297,-28.327033
Leptailurus serval,29.130095,-28.265415
Genetta genetta,26.631434,-33.222651
Leptailurus serval,28.47806,-26.848949
Leptailurus serval,29.634896,-28.674549
Leptailurus serval,28.705258,-27.164422
Leptailurus serval,28.960932,-27.913089
Leptailurus serval,28.69668,-27.150289
Leptailurus serval,28.962661,-27.793387
Leptailurus serval,29.077754,-28.170813
Leptailurus serval,28.95254,-27.751042
Leptailurus serval,29.936434,-29.091656
Leptailurus serval,30.06914,-29.335186
Leptailurus serval,28.771003,-27.305366
Leptailurus serval,30.205584,-29.490376
Leptailurus serval,30.177872,-29.448714
Leptailurus serval,28.764146,-27.284518
Ictonyx striatus,26.618475,-33.197248
Leptailurus serval,28.388885,-26.644179
Genetta genetta,26.618774,-33.24188
Leptailurus serval,29.791191,-28.94548
Leptailurus serval,29.020911,-28.061252
Leptailurus serval,30.177713,-29.446914
Leptailurus serval,28.837283,-27.548878
Proteles cristata,26.623768,-33.165242
Leptailurus serval,30.029324,-29.280676
Leptailurus serval,28.497027,-26.869428
Leptailurus serval,28.392515,-26.674467
Leptailurus serval,28.47495,-26.842294
Leptailurus serval,28.389015,-26.604719
Leptailurus serval,30.035632,-29.295814
Leptailurus serval,28.433236,-26.755577
Leptailurus serval,28.562688,-26.943306
Ictonyx striatus,26.620744,-33.238539
Leptailurus serval,29.919627,-29.074258
Leptailurus serval,28.666255,-27.103242
Aonyx capensis,26.295113,-30.165839
Panthera leo,26.045097,-33.539446
Helogale parvula,31.725156,-24.901182
Caracal caracal,23.405821,-33.595896
Panthera pardus,30.635259,-24.122979
Ictonyx striatus,21.897157,-34.233735
Helogale parvula,31.071678,-24.328424
Panthera leo,31.809088,-25.368976
Galerella sanguinea,23.417832,-28.911455
Panthera leo,31.257888,-24.217392
Felis silvestris,31.777155,-24.3927
Civettictis civetta,28.122077,-24.844331
Atilax paludinosus,22.461436,-33.943677
Panthera leo,31.738244,-24.396805
Panthera leo,31.307692,-24.311702
Mungos mungo,27.49612,-24.52846
Panthera leo,31.927582,-28.332965
Felis catus,29.941367,-29.65817
Genetta genetta,18.43788,-33.652634
Crocuta crocuta,31.575185,-25.052158
Panthera leo,22.901009,-30.474484
Crocuta crocuta,31.474897,-24.172345
Panthera pardus,23.542147,-33.4377
Helogale parvula,31.348919,-25.133005
Panthera leo,25.965931,-33.567944
Galerella pulverulenta,18.501489,-34.05933
Atilax paludinosus,30.842059,-29.839253
Panthera pardus,18.903026,-34.108944
Panthera pardus,30.8303,-24.08007
Cynictis penicillata,30.131574,-27.321303
Panthera pardus,31.539925,-24.866704
Acinonyx jubatus,31.596856,-25.152171
Lycaon pictus,31.514259,-25.423037
Panthera leo,27.158827,-25.388932
Caracal caracal,20.483548,-33.965064
Panthera leo,31.493646,-23.934969
Crocuta crocuta,31.387207,-24.771356
Caracal caracal,19.820947,-34.626695
Civettictis civetta,28.258016,-23.902537
Mungos mungo,27.055133,-25.345067
Panthera pardus,31.251788,-24.363495
Mungos mungo,30.993862,-24.34217
Panthera leo,25.718389,-33.448669
Galerella pulverulenta,17.777701,-30.163369
Panthera leo,31.682325,-24.074828
Cynictis penicillata,25.793554,-33.452892
Helogale parvula,30.890636,-24.201566
Crocuta crocuta,31.904043,-28.292096
Galerella sanguinea,31.446606,-24.468654
Panthera leo,31.503365,-23.997556
Vulpes chama,20.420811,-26.032057
Crocuta crocuta,31.600758,-25.004147
Panthera leo,31.789593,-24.227171
Acinonyx jubatus,27.766364,-24.311562
Galerella pulverulenta,18.516715,-34.073522
Aonyx capensis,18.380734,-34.250087
Civettictis civetta,31.223491,-24.255748
Panthera pardus,18.850165,-34.064686
Crocuta crocuta,31.786741,-24.589888
Panthera leo,25.939288,-33.436108
Cynictis penicillata,19.787174,-34.208819
Galerella pulverulenta,22.7738,-34.018
Crocuta crocuta,31.870851,-25.311809
Cynictis penicillata,20.0595,-33.7088
Ictonyx striatus,20.095744,-34.464734
Panthera leo,31.748,-24.974802
Panthera pardus,31.537601,-24.570942
Caracal caracal,18.470543,-33.753612
Panthera pardus,31.684949,-25.156233
Galerella pulverulenta,20.428774,-34.492835
Crocuta crocuta,26.890307,-25.766797
Proteles cristata,21.79869,-26.944082
Atilax paludinosus,30.922113,-29.846533
Aonyx capensis,28.273675,-25.76612
Galerella pulverulenta,19.045648,-33.442795
Panthera pardus,27.132271,-25.30456
Cynictis penicillata,25.79119,-33.443736
Panthera leo,31.568457,-24.931062
Mellivora capensis,20.017626,-25.786232
Civettictis civetta,28.309444,-24.809444
Panthera pardus,28.253265,-24.992659
Panthera pardus,31.565829,-25.435541
Panthera leo,20.377943,-26.128018
Cynictis penicillata,25.542654,-33.308338
Panthera leo,31.254946,-24.369733
