Species,Lon,Lat
Artibeus lituratus,-76.39397,-0.67777
Artibeus lituratus,-76.40573,-0.67983
Artibeus lituratus,-76.40799,-0.67491
Artibeus lituratus,-68.96458,12.18321
Artibeus lituratus,-74.15,6.716666
Artibeus lituratus,-75.023383,4.883416
Artibeus lituratus,-42.04392,-22.42635
Artibeus lituratus,-97.203429,16.139881
Artibeus lituratus,-77.323839,8.379669
Artibeus lituratus,-75.334669,6.885078
Artibeus lituratus,-75.334669,6.885078
Artibeus lituratus,-77.356811,6.275306
Artibeus lituratus,-73.552806,4.076278
Artibeus lituratus,-73.543833,4.082722
Artibeus lituratus,-86.05981,11.92618
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-78.198545,8.761618
Artibeus lituratus,-78.198545,8.761618
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.722,0.93602
Artibeus lituratus,-86.996075,20.4371
Artibeus lituratus,-88.0227,19.59216
Artibeus lituratus,-88.0227,19.59216
Artibeus lituratus,-88.0227,19.59216
Artibeus lituratus,-88.0227,19.59216
Artibeus lituratus,-87.04226,20.3744
Artibeus lituratus,-88.0227,19.59216
Artibeus lituratus,-87.04226,20.3744
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-96.886686,18.625773
Artibeus lituratus,-87.04226,20.3744
Artibeus lituratus,-88.0227,19.59216
Artibeus lituratus,-87.04226,20.3744
Artibeus lituratus,-87.04226,20.3744
Artibeus lituratus,-73.79084,2.25503
Artibeus lituratus,-73.79084,2.25503
Artibeus lituratus,-77.356811,6.275306
